Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
78	0	-3744.145	-3727.583	-16.56202	0.2665817	0.1852186	0.3089376	0.01986846	0.0114393	0.528925	0.00583342	0.00706521	0.444068	0.00266849	0.1108264	0.000306124	0.0257069	0.343994	3.62999	0.320832	0.322493	0.124214	0.232462	0.1306949	0.8479783
79	1	-3738.964	-3722.66	-16.30422	0.218435	0.2239515	0.3009824	0.1555774	0.00955086	0.546453	0.00264168	0.0184479	0.41474	0.0081668	0.03909553	0.00111139	0.0486345	0.443246	3.50701	0.307895	0.283747	0.133481	0.274877	0.1946729	0.2008268
80	0	-3743.484	-3726.115	-17.36936	0.2234977	0.2174862	0.3115217	0.07117138	0.00987102	0.526185	0.00641712	0.0119828	0.441768	0.00377583	0.1364337	0.000925334	0.0444329	0.427739	3.5269	0.294362	0.289026	0.132156	0.284456	0.2076051	0.6571791
81	1	-3743.661	-3728.052	-15.60844	0.2106504	0.1788056	0.2915703	0.01498777	0.011151	0.538148	0.00645268	0.0181676	0.408437	0.0176436	0.07307218	0.000234265	0.0225123	0.326133	3.65112	0.33087	0.289671	0.129102	0.250357	0.08805995	0.8298004
82	0	-3740.286	-3724.088	-16.19764	0.2935914	0.2275303	0.228298	-0.2507555	0.0110923	0.539971	0.0147991	0.00927617	0.420977	0.00388433	0.2700866	0.0012245	0.0510136	0.451647	3.49611	0.306385	0.307959	0.125848	0.259808	0.01933111	13.97161
83	1	-3738.529	-3721.163	-17.36628	0.212588	0.1641177	0.3496401	-0.1442858	0.0106079	0.487686	0.00214061	0.00407005	0.479326	0.0161704	0.225927	0.000117295	0.0159667	0.283881	3.70003	0.287066	0.32559	0.122917	0.264426	0.08164117	2.767317
84	0	-3742.573	-3727.818	-14.75537	0.318678	0.1894737	0.2270079	0.0305091	0.0099477	0.547369	0.0128379	0.0119271	0.415779	0.00213886	0.04765142	0.000361944	0.0279321	0.355632	3.61607	0.318166	0.293004	0.121331	0.267499	0.07816052	0.609661
85	1	-3740.847	-3725.218	-15.62879	0.2413552	0.1758092	0.3465113	-0.04614315	0.0110352	0.465058	0.00172133	0.0139307	0.498634	0.00962036	0.07120989	0.000205355	0.0210878	0.31766	3.66105	0.302418	0.313336	0.140518	0.243728	0.02506674	2.840812
86	0	-3741.539	-3726.659	-14.88007	0.3218104	0.2302648	0.1982735	-0.1343906	0.00801231	0.550487	0.0172435	0.0103832	0.411703	0.00217041	0.1540831	0.00131594	0.0528556	0.45798	3.48785	0.292547	0.295579	0.130916	0.280958	0.01969257	7.824429
87	1	-3746.641	-3731.558	-15.08227	0.243326	0.2019079	0.324514	0.04807843	0.00810833	0.554536	0.00295828	0.0132444	0.393426	0.0277268	0.002770645	0.000567012	0.0348834	0.388619	3.57593	0.288095	0.315988	0.128716	0.267201	0.05084908	0.05448762
88	0	-3750.095	-3733.283	-16.81175	0.2747347	0.200339	0.2521413	-0.1320687	0.00949911	0.589037	0.0139122	0.00579432	0.378837	0.00292098	0.2325874	0.000537442	0.0339713	0.384542	3.58095	0.284441	0.332837	0.115454	0.267268	0.1005187	2.313872
89	1	-3746.798	-3732.107	-14.6913	0.2848685	0.1963011	0.2549817	0.08907535	0.0179679	0.548555	0.00602079	0.0108461	0.389183	0.0274277	0.0004960638	0.000466391	0.0316692	0.373935	3.59393	0.322122	0.29331	0.121881	0.262687	0.08957141	0.005538193
90	0	-3737.075	-3722.529	-14.5466	0.2635657	0.2094613	0.2845455	0.01234822	0.0200103	0.566342	0.0138298	0.00339241	0.39108	0.00534581	0.01234927	0.000725585	0.0394058	0.407897	3.55197	0.294508	0.291278	0.138428	0.275786	0.02469749	0.5000213
91	1	-3742.27	-3725.596	-16.67351	0.2124423	0.1685584	0.3685203	-0.09392412	0.00692692	0.450837	0.00594229	0.00760181	0.499563	0.0291296	0.147581	0.000146435	0.017828	0.296839	3.68519	0.317834	0.305293	0.132358	0.244516	0.05365685	2.750459
92	0	-3742.239	-3727.465	-14.77435	0.2570967	0.2235314	0.2824405	-0.03467982	0.00987458	0.451092	0.0117321	0.00359716	0.519809	0.00389545	0.05049003	0.00109859	0.0483576	0.442251	3.50829	0.329741	0.292992	0.139499	0.237768	0.01581021	3.193508
93	1	-3749.976	-3731.874	-18.10214	0.2767958	0.2026712	0.2500109	0.1046924	0.00584681	0.49315	0.00540291	0.00665714	0.467788	0.021155	0.1932573	0.000581805	0.0353306	0.390593	3.57349	0.31557	0.258138	0.156336	0.269955	0.2979497	0.648624
