Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
850	-3746.503	-3728.198	-18.30556	0.3054269	0.2065046	0.2172744	-0.02600233	0.0122962	0.492256	0.00717292	0.00622884	0.470997	0.0110495	0.2775416	0.000660241	0.0376103	0.40042	3.56131	0.275685	0.298446	0.144161	0.281708	0.2515392	1.103373
860	-3740.455	-3722.921	-17.53387	0.3046543	0.2200426	0.2396229	-0.04814531	0.0108734	0.568545	0.0054464	0.00708491	0.404192	0.00385812	0.2391351	0.000996138	0.0460788	0.433921	3.519	0.307061	0.311863	0.120906	0.26017	0.1909898	1.252083
870	-3745.172	-3727.489	-17.68311	0.2849845	0.2424717	0.2468561	0.2539231	0.0138091	0.580595	0.0176306	0.00252146	0.378591	0.00685233	0.0982082	0.00177927	0.0613096	0.485338	3.45157	0.292196	0.312069	0.120653	0.275081	0.3521313	0.2788965
880	-3742.753	-3728.404	-14.34888	0.2641604	0.2008172	0.2145792	0.06844834	0.0142983	0.571528	0.00716384	0.00774965	0.392836	0.00642449	0.01336592	0.000546336	0.0342483	0.385787	3.57942	0.274464	0.295638	0.149107	0.280792	0.08181426	0.163369
890	-3740.632	-3723.599	-17.03352	0.2571094	0.2177228	0.3089402	0.06157019	0.0142186	0.438892	0.00511605	0.00770648	0.524014	0.0100527	0.1206928	0.000931737	0.0445843	0.428314	3.52617	0.284622	0.329834	0.135474	0.25007	0.182263	0.6621904
900	-3745.884	-3729.506	-16.37757	0.2472919	0.1720968	0.3051252	0.1960843	0.0153642	0.49211	0.00562918	0.00754858	0.461474	0.0178738	0.01846882	0.000173326	0.0193852	0.307054	3.67339	0.27382	0.296865	0.148794	0.28052	0.2145531	0.0860804
910	-3738.895	-3721.609	-17.2867	0.2688484	0.2105505	0.2363101	0.0750806	0.0137356	0.493853	0.00496705	0.00627735	0.463108	0.0180586	0.1659637	0.000750751	0.0400752	0.410628	3.54855	0.300323	0.298752	0.122149	0.278777	0.2410443	0.6885195
920	-3738.435	-3722.403	-16.03169	0.2575491	0.205655	0.2761007	0.2197279	0.0121582	0.495534	0.00330771	0.00681453	0.467655	0.0145308	0.00446631	0.000642253	0.0371002	0.398255	3.564	0.301071	0.288499	0.13116	0.279269	0.2241942	0.01992161
930	-3736.824	-3720.465	-16.35841	0.2328899	0.2179427	0.2831632	0.2215318	0.0168985	0.495201	0.00485448	0.00723205	0.46734	0.00847485	0.02196988	0.000937717	0.0447253	0.428848	3.52549	0.294818	0.291243	0.131007	0.282932	0.2435017	0.09022477
940	-3736.465	-3720.947	-15.5181	0.234484	0.2186119	0.2872082	-0.03374985	0.021871	0.531086	0.0107958	0.00506747	0.42139	0.00979059	0.09385194	0.000956073	0.0451551	0.430469	3.52342	0.285294	0.312435	0.13441	0.267861	0.06010209	1.561542
